Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Product ID,SalesPerson ID,Sales,Quantity,Discount,Profit
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Consumer,FUR-BO-10001798,12,261.96,2,0,41.9136
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Consumer,FUR-CH-10000454,17,731.94,3,0,219.582
CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,Corporate,OFF-LA-10000240,18,14.62,2,0,6.8714
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Consumer,FUR-TA-10000577,20,957.5775,5,0.45,-383.031
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Consumer,OFF-ST-10000760,10,22.368,2,0.2,2.5164
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,FUR-FU-10001487,12,48.86,7,0,14.1694
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,OFF-AR-10002833,10,7.28,4,0,1.9656
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,TEC-PH-10002275,2,907.152,6,0.2,90.7152
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,OFF-BI-10003910,10,18.504,3,0.2,5.7825
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,OFF-AP-10002892,1,114.9,5,0,34.47
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,FUR-TA-10001539,6,1706.184,9,0.2,85.3092
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,TEC-PH-10002033,13,911.424,4,0.2,68.3568
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Consumer,OFF-PA-10002365,15,15.552,3,0.2,5.4432
CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Consumer,OFF-BI-10003656,10,407.976,3,0.2,132.5922
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Home Office,OFF-AP-10002311,8,68.81,5,0.8,-123.858
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Home Office,OFF-BI-10000756,20,2.544,3,0.8,-3.816
CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Consumer,OFF-ST-10004186,13,665.88,6,0,13.3176
CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Consumer,OFF-ST-10000107,12,55.5,2,0,9.99
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Consumer,OFF-AR-10003056,14,8.56,2,0,2.4824
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Consumer,TEC-PH-10001949,9,213.48,3,0.2,16.011
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Consumer,OFF-BI-10002215,4,22.72,4,0.2,7.384
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Corporate,OFF-AR-10000246,15,19.46,7,0,5.0596
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Corporate,OFF-AP-10001492,16,60.34,7,0,15.6884
US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Consumer,FUR-CH-10002774,14,71.372,2,0.3,-1.0196
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Consumer,FUR-TA-10000577,19,1044.63,3,0,240.2649
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Consumer,OFF-BI-10001634,16,11.648,2,0.2,4.2224
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Consumer,TEC-AC-10003027,7,90.57,3,0,11.7741
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,FUR-BO-10004834,18,3083.43,7,0.5,-1665.0522
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,OFF-BI-10000474,4,9.618,2,0.7,-7.0532
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,FUR-FU-10004848,18,124.2,3,0.2,15.525
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,OFF-EN-10001509,5,3.264,2,0.2,1.1016
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,OFF-AR-10004042,19,86.304,6,0.2,9.7092
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,OFF-BI-10001525,8,6.858,6,0.7,-5.715
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,OFF-AR-10001683,19,15.76,2,0.2,3.546
CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Home Office,OFF-PA-10000249,3,29.472,3,0.2,9.9468
CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Corporate,TEC-PH-10004977,11,1097.544,7,0.2,123.4737
CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Corporate,FUR-FU-10003664,20,190.92,5,0.6,-147.963
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,OFF-EN-10002986,4,113.328,9,0.2,35.415
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,FUR-BO-10002545,3,532.3992,3,0.32,-46.9764
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,FUR-CH-10004218,15,212.058,3,0.3,-15.147
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,TEC-PH-10000486,17,371.168,4,0.2,41.7564
CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Corporate,TEC-PH-10004093,16,147.168,4,0.2,16.5564
CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Corporate,OFF-ST-10003479,8,77.88,2,0,3.894
CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Corporate,OFF-ST-10003282,15,95.616,2,0.2,9.5616
CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Corporate,TEC-AC-10000171,20,45.98,2,0,19.7714
CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Corporate,OFF-BI-10003291,16,17.46,2,0,8.2062
CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Consumer,OFF-ST-10001713,9,211.96,4,0,8.4784
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Consumer,TEC-AC-10002167,9,45,3,0,4.95
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Consumer,TEC-PH-10003988,16,21.8,2,0,6.104
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,OFF-BI-10004410,6,38.22,6,0,17.9634
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,OFF-LA-10002762,8,75.18,6,0,35.3346
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,FUR-FU-10001706,13,6.16,2,0,2.9568
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,FUR-CH-10003061,2,89.99,1,0,17.0981
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Corporate,OFF-FA-10000304,3,15.26,7,0,6.2566
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Corporate,TEC-PH-10002447,19,1029.95,5,0,298.6855
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,OFF-ST-10000604,11,208.56,6,0,52.14
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,OFF-PA-10001569,8,32.4,5,0,15.552
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,FUR-CH-10003968,2,319.41,5,0.1,7.098
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,OFF-PA-10000587,16,14.56,2,0,6.9888
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,TEC-AC-10002167,3,30,2,0,3.3
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,OFF-BI-10001460,19,48.48,4,0.2,16.362
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,OFF-AR-10001868,2,1.68,1,0,0.84
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,TEC-AC-10004633,4,13.98,2,0,6.1512
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,OFF-BI-10001078,7,25.824,6,0.2,9.3612
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,OFF-PA-10003892,2,146.73,3,0,68.9631
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,FUR-FU-10000397,18,79.76,4,0,22.3328
US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Home Office,FUR-CH-10001146,1,213.115,5,0.3,-15.2225
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Corporate,OFF-AR-10002671,9,1113.024,8,0.2,111.3024
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Corporate,TEC-PH-10002726,10,167.968,4,0.2,62.988
CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Consumer,OFF-PA-10000482,8,75.88,2,0,35.6636
CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Consumer,OFF-BI-10004654,15,4.616,1,0.2,1.731
CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Consumer,OFF-PA-10004675,20,19.05,3,0,8.763
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Consumer,FUR-CH-10000513,15,831.936,8,0.2,-114.3912
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Consumer,FUR-FU-10003708,7,97.04,2,0.2,1.213
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Consumer,OFF-ST-10004123,11,72.784,1,0.2,-18.196
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Corporate,OFF-BI-10004182,3,1.248,3,0.8,-1.9344
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Corporate,FUR-FU-10000260,6,9.708,3,0.6,-5.8248
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Corporate,OFF-ST-10000615,8,27.24,3,0.2,2.724
US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,Consumer,FUR-FU-10003194,13,19.3,5,0.6,-14.475
CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Corporate,OFF-AP-10002118,3,208.16,1,0,56.2032
CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Corporate,OFF-BI-10002309,4,16.74,3,0,8.0352
CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Consumer,OFF-AR-10002053,18,14.9,5,0,4.172
CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Consumer,OFF-ST-10002370,5,21.39,1,0,6.2031
CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,Corporate,OFF-EN-10000927,5,200.984,7,0.2,62.8075
US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Home Office,OFF-ST-10003656,15,230.376,3,0.2,-48.9549
CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,Consumer,FUR-CH-10000863,1,301.96,2,0,33.2156
CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Consumer,TEC-AC-10001998,12,19.99,1,0,6.7966
CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Consumer,OFF-LA-10000134,4,6.16,2,0,2.9568
CA-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,Home Office,OFF-ST-10003442,18,158.368,7,0.2,13.8572
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,OFF-AR-10004930,16,20.1,3,0,6.633
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,TEC-PH-10004093,13,73.584,2,0.2,8.2782
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,OFF-PA-10000304,9,6.48,1,0,3.1104
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Consumer,OFF-PA-10003177,6,12.96,2,0,6.2208
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Consumer,FUR-FU-10003799,19,53.34,3,0,16.5354
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Consumer,OFF-BI-10002852,4,32.96,2,0,16.1504
US-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705,Home Office,OFF-BI-10004738,18,5.682,1,0.7,-3.788
CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775,Home Office,FUR-FU-10000629,10,96.53,7,0,40.5426
CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,Consumer,OFF-BI-10001721,3,51.312,3,0.2,17.9592
CA-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855,Corporate,OFF-AP-10000358,7,77.88,6,0,22.5852
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Home Office,OFF-PA-10003256,14,64.624,7,0.2,22.6184
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Home Office,TEC-AC-10001767,8,95.976,3,0.2,-10.7973
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Home Office,OFF-BI-10002609,1,1.788,3,0.8,-3.0396
CA-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470,Consumer,OFF-PA-10004040,4,23.92,4,0,11.7208
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,TEC-AC-10001552,3,238.896,6,0.2,-26.8758
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,FUR-FU-10004006,15,102.36,3,0.2,-3.8385
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,OFF-BI-10002794,3,36.882,3,0.7,-25.8174
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,TEC-AC-10003499,19,74.112,8,0.2,17.6016
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,TEC-PH-10002844,4,27.992,1,0.2,2.0994
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,OFF-AR-10000390,4,3.304,1,0.2,1.0738
CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,Home Office,TEC-AC-10000844,5,339.96,5,0.2,67.992
CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,Corporate,FUR-FU-10001934,19,41.96,2,0,10.9096
CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,Consumer,OFF-AR-10000380,19,75.96,2,0,22.788
CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,Consumer,OFF-BI-10003981,11,27.24,6,0,13.3476
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,OFF-FA-10000621,13,40.096,14,0.2,14.5348
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,OFF-EN-10002600,5,4.72,2,0.2,1.652
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,OFF-PA-10004965,14,23.976,3,0.2,7.4925
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,OFF-EN-10002504,5,130.464,6,0.2,44.0316
CA-2015-110457,3/2/2015,3/6/2015,Standard Class,DK-13090,Consumer,FUR-TA-10001768,13,787.53,3,0,165.3813
US-2015-136476,4/5/2015,4/10/2015,Standard Class,GG-14650,Corporate,OFF-BI-10003650,16,157.794,1,0.7,-115.7156
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,FUR-FU-10002157,17,47.04,3,0,18.3456
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,OFF-BI-10003910,14,30.84,4,0,13.878
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,OFF-ST-10000777,3,226.56,6,0,63.4368
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,OFF-EN-10002500,20,115.02,9,0,51.759
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,TEC-PH-10003875,2,68.04,7,0,19.7316
US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,Home Office,FUR-CH-10004063,6,600.558,3,0.3,-8.5794
US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165,Consumer,FUR-TA-10004534,13,617.7,6,0.5,-407.682
US-2017-107272,11/5/2017,11/12/2017,Standard Class,TS-21610,Consumer,OFF-BI-10003274,7,2.388,2,0.7,-1.8308
US-2017-107272,11/5/2017,11/12/2017,Standard Class,TS-21610,Consumer,OFF-ST-10002974,15,243.992,7,0.2,30.499
US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975,Home Office,FUR-CH-10001146,18,81.424,2,0.2,-9.1602
US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975,Home Office,FUR-FU-10003773,17,238.56,3,0,26.2416
